Marca,Modelo,Anio,Kilometraje,Ciudad,Precio
MG,5,2020,19900,Guayaquil,14600
Chevrolet,Beat,2019,62000,Guayaquil,11500
Hyundai,H1,1996,491200,Santo Domingo,6500
Great Wall,H5,2012,316000,Guayaquil,10000
Skoda,Octavia,2003,220000,Quito,6000
Hyundai,i10 Sedan,2019,188000,Guayaquil,12000
Mazda,CX-9,2009,210000,Guayaquil,19000
Skoda,Felicia,1995,320000,Ambato,5800
Great Wall,Wingle 5,2019,78000,Guayaquil,16200
Jeep,Grand Cherokee,1995,265000,Loja,5500
Chevrolet,Beat,2019,70000,Quito,12500
Ford,F150,2006,218000,Quito,11200
Chevrolet,Chevette,1996,120000,Quito,3500
Chevrolet,Grand Vitara,2015,76000,Guayaquil,17000
Kia,Óptima,2018,95274,Esmeraldas,23750
Chevrolet,Captiva Sport,2013,148500,Guayaquil,14800
Hyundai,Ioniq Híbrido,2022,11000,Cuenca,27000
Nissan,X-Trail,2019,102000,Quito,32000
Chevrolet,Sail Sedán,2015,65000,Quito,10800
Ford,F150,2014,175555,Buena Fe,24500
Ford,Taurus,1996,109199,Guayaquil,7000
Brilliance,V3,2021,25000,Quito,15500
Citroën,C3,2019,55000,Guayaquil,16500
Ford,F150,2018,60000,Guayaquil,53500
Chevrolet,Captiva Sport,2013,105000,Quito,14000
Jeep,Compass,2012,111037,Guayaquil,19000
Mazda,BT-50,2012,141000,Quito,13800
Toyota,Fortuner,2011,138000,Quito,21000
Ford,F150,2014,126000,Samborondon,40000
Chevrolet,Grand Vitara,2015,140000,Latacunga,15200
Ford,F150,2012,308000,Montecristi,17000
Chevrolet,Captiva Sport,2010,190000,Quito,10900
Chevrolet,D-Max,2018,117000,Salcedo,33500
Chevrolet,Captiva Sport,2014,122300,Machala,14000
Renault,Logan,2011,130700,Quito,8900
Hyundai,Tucson,2007,250000,Quito,10900
Ford,Expedition,2010,190000,General Villamil (Playas),31000
Great Wall,H5,2013,152000,Guayaquil,12000
Chevrolet,Silverado,1994,340000,Guayaquil,5200
Great Wall,H5,2012,144699,Guayaquil,12000
Renault,Logan,2016,91000,Quito,11500
Kia,Sorento,2017,82000,Guayaquil,26500
Mazda,2 Sedan,2017,63000,Ibarra,17999
Mazda,2200,2006,211000,Milagro,10500
Nissan,Sentra,2006,20000,Guayaquil,4500
Nissan,Kicks,2019,97000,Guayaquil,23000
Ford,F150,2015,159000,Quito,49900
Nissan,Tiida Sedan,2015,118918,Guayaquil,12000
Chevrolet,Captiva,2021,14000,Quito,24000
Great Wall,M4,2017,97000,Quito,12900
Mazda,CX-5,2017,94325,Guayaquil,24500
Ford,F150,2014,200000,Milagro,28000
Kia,Sportage,2020,59000,Guayaquil,27500
Volkswagen,Jetta,2017,34500,Quito,19500
FIAT,500,2020,21000,Quito,22990
Mazda,BT-50,2010,216000,Cayambe,15500
Kia,Sportage,2006,290000,Quito,10000
Kia,Stylus LSX,2013,200000,Guayaquil,7600
Volkswagen,Golf,1996,136000,Ibarra,5300
Kia,Sportage,2017,88000,Quito,22000
Hyundai,Verna,2021,27000,Guayaquil,15500
Shineray,X30 Pasajeros,2021,40000,Guayaquil,14790
Nissan,Frontier,2009,279713,Quito,13000
Chevrolet,Tracker,2014,99950,Quito,16000
JMC,Landwind,2020,89000,Quito,13500
Ford,Explorer,2004,281501,Guayaquil,10500
Audi,A4,2022,3750,Guayaquil,46000
Kia,Sportage GT,2020,35000,Quito,28500
Peugeot,301,2019,33000,Quito,15200
Kia,Picanto,2021,39650,Quito,12650
Skoda,Octavia,2008,390000,Guayaquil,8550
Chevrolet,Corsa Sedán,2006,186000,Guayaquil,7500
Toyota,Prius C,2013,199000,Guayaquil,12000
Chevrolet,Trailblazer,2019,115000,Manta,43500
Chevrolet,Trailblazer,2018,79251,Quito,42900
Ford,F150,2010,235000,Machala,19500
Chevrolet,Sail Sedán,2019,89000,Guayaquil,12000
JMC,Landwind,2020,44000,Quito,14500
BYD,S6,2017,75000,Quito,20000
Ford,Fusion,2014,82700,Quito,19500
Chery,Tiggo 2,2019,94000,Guaranda,13499
Skoda,Fabia,2018,95000,Guayaquil,12300
Kia,Stylus LSX,2021,7000,Quito,20300
Chevrolet,Cruze,2011,123000,Ambato,11000
Volkswagen,Jetta,2003,184654,Manta,9500
Chevrolet,Spark,2009,143500,Quito,7200
Kia,Sportage,2015,148000,Quito,17000
Nissan,Frontier,2013,117280,Quito,17000
Chevrolet,Luv,1994,3000,Quevedo,8000
Toyota,Rav4,2003,358035,Cuenca,11700
Chevrolet,Grand Vitara,2016,64000,Quito,18000
Toyota,Yaris,2020,47000,Guayaquil,18600
Great Wall,Wingle 5,2015,142000,Quito,15800
Jeep,Grand Cherokee,2014,84600,Quito,34500
Ford,Ranger,1993,350000,Guayaquil,5000
Chevrolet,Sail Sedán,2018,150000,Guayaquil,12500
Volkswagen,Voyage,2014,84000,Quito,13000
Audi,Q3,2022,32000,Samborondon,44000
Kia,Sportage,2015,86000,Quito,18000
Chevrolet,S-Cross,2019,55000,Machala,19500
Kia,Stylus LSX,2013,238000,Guayaquil,8500
Mazda,CX-5,2019,45000,Quito,24500
Chevrolet,Cavalier,2019,65000,Quito,18200
JMC,Landwind,2020,48000,Guayaquil,15500
Chery,Grand Tiggo,2022,16000,Portoviejo,27000
Chevrolet,Sail Sedán,2019,70000,Guayaquil,13000
Volkswagen,Jetta,2011,188000,Quito,11000
Kia,Sportage,2017,106000,Guayaquil,17800
Chery,Tiggo 7,2022,8000,Latacunga,25000
Kia,Sportage,2013,124000,Rumiñahui,15800
Changhe,Minivan,2009,84500,Quito,7300
Kia,Stylus LSX,2013,82000,Quito,10500
Mitsubishi,Montero,2009,530000,La Mana,25000
Kia,Rio,2011,252000,Guayaquil,10500
Chery,Tiggo,2022,16000,Ibarra,23000
Mazda,CX-3,2021,14600,Quito,30900
Toyota,Hilux,2018,43400,Quito,29500
Kia,Sportage,2002,400000,Loja,6500
Chevrolet,Captiva Sport,2020,55000,Machala,22500
Chevrolet,Tracker,2018,77000,Quito,18500
Chevrolet,Grand Vitara,2005,250000,Biblian,10499
JAC,T6,2022,9800,General Antonio Elizalde (Bucay),21000
Jeep,WILLYS,1962,230000,Quito,9000
Renault,Logan,2012,300000,Quito,7500
Ford,F150,2011,170000,Guayaquil,19600
Kia,Sorento,2018,90000,Guayaquil,29000
Chevrolet,Sail Sedán,2018,40400,Guayaquil,14300
Chevrolet,Grand Vitara,2007,206000,San Miguel De Los Bancos,11000
Great Wall,H6,2018,98000,Quito,15600
Chevrolet,Grand Vitara,2013,215194,Guayaquil,12500
Soueast,DX3,2019,76000,Quito,18000
Shineray,X30 Pasajeros,2020,13000,Quito,14500
Haval,H6 Sport,2019,53000,Quito,18000
FIAT,Palio,2006,240100,Manta,6500
Hyundai,Tucson,2011,232280,Guayaquil,15000
Skoda,Superb,2008,394103,Guayaquil,6500
Chevrolet,Grand Vitara,2008,200000,Manta,10400
Hyundai,Tucson,2021,22000,Manta,30800
Toyota,Dyna,1998,115865,Lago Agrio,7800
Hyundai,Creta,2018,56435,Riobamba,22000
Peugeot,308,2005,137000,Ambato,16000
Chery,Arrizo 3,2022,18000,Salinas,28000
Hyundai,Accent,2013,168900,Santa Ana,12000
Foton,Tunland,2019,73000,Ambato,22487
Kia,Stylus LSX,2005,192625,Duran,7500
Haval,H6,2018,97000,Quito,17000
Mitsubishi,Outlander,2021,15000,El Guabo,25500
Soueast,DX7,2019,86000,Machala,20000
Chevrolet,D-Max,2017,137000,Guayaquil,30000
Ford,Expedition,2013,169000,Manta,39000
Soueast,DX3,2021,15020,Guayaquil,20000
JAC,T6,2013,252000,Ambato,12500
Nissan,Frontier,2015,132668,Quito,21000
Chevrolet,Corsa Sedán,2007,400000,Guayaquil,7900
Suzuki,Forsa,2010,200000,Duran,14000
Hyundai,Creta,2018,68000,Guayaquil,21000
Great Wall,H6,2018,87400,Rumiñahui,15500
Nissan,Frontier,2004,57574,Quito,9000
Volkswagen,Gol,2012,83278,Machala,12200
Hyundai,Santa Fe,2014,140000,Quito,22000
Great Wall,Wingle 5,2018,106000,Guayaquil,14500
Hyundai,Santa Fe,2014,143000,Manta,22000
Peugeot,301,2018,52000,Quito,15000
Toyota,Rav4,2015,66000,Quito,25000
Chevrolet,D-Max,2012,300000,Santa Elena,21000
Chevrolet,Sail Hatchback,2014,60000,Guayaquil,10000
Chevrolet,Captiva Sport,2008,173000,Las Naves,4500
Chevrolet,Optra,2007,230000,Quito,8000
Chevrolet,Aveo Family,2017,119000,Quito,10500
Chevrolet,Sail Sedán,2015,38574,Quito,12800
Chevrolet,Spark,2017,102300,Guayaquil,8500
Ford,Fusion,2011,90000,Quito,17500
Hyundai,Tucson,2007,260000,Santo Domingo,10000
Mitsubishi,Montero Sport,1998,240000,Quevedo,10800
Renault,Duster,2013,130000,Santa Elena,12500
Land Rover,Freelander,2000,181000,Quito,10800
Mazda,CX-3,2018,260000,Quito,28500
Peugeot,308,2011,97000,Quito,9000
Toyota,Rav4,2002,308000,Loja,11800
Toyota,Land Cruiser Prado,2008,225000,Quito,18500
Chery,QQ311,2013,300000,Guayaquil,5200
BMW,X5,2008,196000,Santo Domingo,4500
Chevrolet,Aveo Family,2014,400000,Guayaquil,9000
Chevrolet,Grand Vitara,2015,70000,Quito,16000
Dodge,Journey,2013,98000,Samborondon,18000
Ford,Ecosport,2005,287000,Cuenca,10250
Ford,Edge,2017,56000,Quito,37999
Hyundai,Tucson,2007,202000,Quito,11000
Hyundai,Accent,2011,180000,Santa Elena,8500
Mitsubishi,Canter,2008,215000,Loja,19800
Nissan,Versa,2019,18900,Quito,19000
Volkswagen,Polo,2004,245000,Ibarra,6500
Kia,Sportage GT,2019,28500,Guayaquil,30000
Kia,Picanto,2018,16200,Quito,12300
Suzuki,Super-carry,1995,350000,Guayaquil,3500
Toyota,Yaris,2008,149000,Bolivar,2300
Toyota,Hilux,2019,4000,Pastaza,12500
Chery,Tiggo,2017,73000,Quito,14000
Shineray,X30 Cargo,2019,7500,Guayaquil,11000
Chevrolet,Spark GT,2019,30000,Quito,11500
Chevrolet,Grand Vitara,2010,130000,Cuenca,16089
Chevrolet,Sail Hatchback,2015,134000,Daule,9000
Chevrolet,Grand Vitara,2010,150000,Mejia,14500
Chevrolet,Beat,2019,38000,Quito,13000
Chevrolet,Chevette,1981,60000,Guachapala,30000
Chevrolet,Sail Sedán,2019,76452,Guayaquil,14800
Nissan,1200,1994,256000,Milagro,2000
Renault,Mègane,2007,123000,El Triunfo,4200
Renault,Mègane,2006,187000,Chillanes,3800
Renault,Logan,2011,84920,Limon Indanza,2500
Mazda,BT-50,2016,65000,Guayaquil,17000
Toyota,Hilux,2016,15000,Mocache,8500
Toyota,Yaris,2001,113000,Puebloviejo,1800
Toyota,Hilux,2012,97000,Gualaquiza,5400
Toyota,Prius C,2019,60000,Guayaquil,18000
Great Wall,H5,2015,107000,Manta,14000
Changan,CS15,2019,35000,Quito,15990
Chevrolet,Luv,2003,392000,Ibarra,10400
Chevrolet,Luv,1996,200000,General Antonio Elizalde (Bucay),7500
Chevrolet,Aveo Emotion,2009,87000,Quito,6300
Chevrolet,Sail Sedán,2019,38574,Quito,12800
Chevrolet,Forsa,1999,200000,Quevedo,58000
Chevrolet,Corsa Hatchback,2003,168000,Quito,6300
Chevrolet,Grand Vitara,2009,232000,Riobamba,10800
Chevrolet,Tahoe,2010,140000,Quito,29900
Chevrolet,Captiva,2020,22000,Quito,24000
Hyundai,Ioniq Híbrido,2017,47000,Babahoyo,20500
Mitsubishi,Montero Sport,2007,150000,Huaquillas,9400
Nissan,Sentra,1994,378072,Pedro Moncayo,4400
Volkswagen,T-Cross,2008,98200,Quito,10900
Volkswagen,Jetta,2011,72000,Guayaquil,11500
Volkswagen,Golf,2006,216272,Quito,8250
Volkswagen,Jetta,2017,32000,Guayaquil,19000
Renault,Logan,2012,205000,Tena,9000
Mercedes Benz,Clase A Hatchback,1965,108002,Aguarico,2600
Kia,Sportage R,2013,136600,Guayaquil,19800
Kia,Sportage,2012,147300,Quito,14500
Peugeot,5008,2018,24000,Las Naves,30000
Suzuki,Super-carry,2009,240800,Santo Domingo,12500
Toyota,Yaris,2001,113000,Santo Domingo,1500
Chevrolet,Grand Vitara,2014,78700,Quito,16000
Chevrolet,Aveo Family,2013,257144,Chone,10000
Chevrolet,Luv,1993,500000,Rumiñahui,7800
Chevrolet,Trailblazer,2003,221000,Quito,8500
Chevrolet,C10,1975,89000,Machala,4000
Ford,Escape,2011,93500,Guayaquil,16200
Ford,Escape,2010,210000,Samborondon,15500
Ford,Explorer,1998,401000,Guayaquil,6200
Hyundai,i10,2009,233194,Guayaquil,8500
Nissan,X-Trail,2010,115000,Cuenca,16000
Nissan,Versa,2014,116000,Guayaquil,14000
Nissan,Patrol,2004,307000,Quito,16000
Volkswagen,Golf,2003,177000,Quito,9500
Mercedes Benz,Clase V,1988,242000,Mira,2000
Kia,Carnival,2001,89000,Quito,12500
Mazda,CX-5,2015,80000,Quito,24000
Peugeot,508,1978,100000,Quito,4500
Toyota,Corolla,2008,30755,Loja,4000
Toyota,Yaris,2003,154000,Loja,2000
Toyota,Land Cruiser Prado,2013,110000,Guayaquil,25000
FIAT,iava,2009,145000,Paute,5400
Chevrolet,Aveo Emotion,2008,180000,Babahoyo,5600
Chevrolet,Aveo Emotion,2008,144000,Santiago,4800
Chevrolet,Grand Vitara,2019,14000,Latacunga,22000
Chevrolet,N300,2013,80000,Guayaquil,12800
Chevrolet,Sail Sedán,2014,96000,Manta,11200
Chevrolet,Grand Vitara,2015,136740,Quito,16000
Chevrolet,N300,2015,136000,Guayaquil,8000
Ford,Edge,2013,134000,Guayaquil,21000
Hyundai,H1,2014,179000,Guayaquil,25000
Hyundai,Santa Fe,2004,240,Santo Domingo,11500
Renault,Sandero,2014,45500,Quito,12500
Mercedes Benz,Clase C Sedán,2008,91000,Machala,8000
Kia,Rio,2013,182000,Quito,9800
Kia,Rio,2019,43000,Esmeraldas,17000
Kia,Sportage,2007,251000,Quito,12500
Lada,niva,2004,223212,Quito,5000
Skoda,Fabia Combi,2012,230000,Guayaquil,10300
Toyota,Hilux,2016,77800,Loja,8500
Toyota,Land Cruiser Prado,2006,218500,Loja,4000
Toyota,Land Cruiser 200,2015,687000,Guachapala,10000
Toyota,Hilux,2009,163000,Caluma,14500
Chery,Q,2017,85500,Portoviejo,7000
JAC,JS3,2019,15000,Quito,15990
Chevrolet,Sail Sedán,2018,61000,Quito,17000
Chevrolet,Spark GT,2016,37000,Quito,10000
Chevrolet,Sail Hatchback,2012,169000,Quito,8800
Chevrolet,Tracker,2017,28000,Quito,20500
Chevrolet,Grand Vitara,2008,163000,Guaranda,10800
Hyundai,Tucson,2009,151000,Chambo,9300
Nissan,Sentra,1995,379000,Guayaquil,5000
Renault,Duster,2014,120000,Quito,15000
Renault,Logan,2011,228895,Guayaquil,7500
Renault,Sandero,2011,262000,Quito,7800
Kia,Sportage R,2018,43000,Quito,22500
Mazda,3 Hatchback,2007,145000,Guayaquil,4800
Mazda,626,2002,164569,Quito,10500
Toyota,Rav4,2007,172019,Ambato,14699
BMW,X3,2006,158000,Samborondon,18000
Chevrolet,Sail Sedán,2014,190000,Sucre,10500
Chevrolet,D-Max,2016,135000,Quito,29600
Hyundai,Elantra,2011,75000,Ambato,12700
Hyundai,Tucson,2010,209000,Guayaquil,13000
Nissan,CABINA DOBLE 2.4,2008,193290,Milagro,4000
Volkswagen,Gol,2014,67000,Guayaquil,13500
Renault,Duster,2013,125650,Guayaquil,12500
Kia,Rio,2008,240000,Guayaquil,8500
Kia,Rio,2017,74502,Guayaquil,15500
Toyota,Prius 4G,2018,15000,Cuenca,24500
Alfa Romeo,146,1966,184000,Mira,1500
Chevrolet,Aveo Family,2015,74000,Portoviejo,10499
Chevrolet,Captiva Sport,2014,115000,Quito,17500
Chevrolet,Corsa Hatchback,2003,300000,Chone,4900
Chevrolet,Aveo Emotion,2008,61000,Gualaquiza,5400
Chevrolet,Spark GT,2016,37000,Quito,10000
Chevrolet,Sail Sedán,2016,120000,Quito,12000
Dodge,Durango,2018,89000,Portoviejo,25000
Jeep,Compass,2015,114000,Quito,26500
Nissan,X-Trail,2014,92300,Quito,20800
Renault,Stepway,2019,31500,Guayaquil,14500
Kia,Picanto,2012,81000,Guachapala,7500
Skoda,Fabia,2007,123000,Guamote,4000
Toyota,Hilux,2012,90065,Loja,5900
Audi,A3,2002,300000,Ibarra,8000
Chevrolet,Grand Vitara,2015,52378,Guayaquil,19800
Chevrolet,Spark GT,2017,50000,Milagro,10500
Chevrolet,Spark GT,2016,85600,Quito,10800
Chevrolet,Optra,2007,230000,Quito,8500
Chevrolet,Esteem,2004,32800,Portoviejo,7000
Chevrolet,Grand Vitara,2008,193600,Quito,11000
Chevrolet,S-Cross,2019,74000,Cuenca,18000
Chevrolet,Trooper,1990,340000,Guayaquil,4300
Chevrolet,Spark GT,2020,22300,Quito,12800
Dodge,Durango,1999,100200,Guayaquil,16500
Ford,F150,2009,193250,Santo Domingo,19500
Ford,F150,2011,157149,Milagro,20000
Ford,Escape,2019,12900,Daule,32000
Hyundai,i10,2009,115000,Quito,7000
Hyundai,Terracan,2005,257234,Santo Domingo,9700
Hyundai,Grand i10,2019,7000,Guayaquil,14000
Hyundai,Sonata,2016,49000,Santa Rosa,8500
Hyundai,Santa Fe,2011,260000,Guayaquil,15800
Hyundai,Sonata Híbrido,2017,60000,Quito,22900
Hyundai,Tucson,2006,150000,Quito,10500
Nissan,Versa,2012,119000,Manta,12000
Nissan,Tiida Sedan,2013,117000,Guayaquil,9200
Volkswagen,Amarok,2010,253320,Quito,15500
Renault,Stepway,2019,8000,Quito,17500
Mazda,BT-50,2009,314000,Santo Domingo,13500
Peugeot,206,2006,166000,Las Naves,4400
Toyota,Corolla,2009,156000,Macara,3500
Toyota,Hilux,2018,87700,Guayaquil,31500
Great Wall,H5,2012,280000,Daule,13500
Soueast,DX3,2018,80000,Ambato,16300
Chevrolet,Aveo Emotion,2017,71000,Latacunga,14200
Chevrolet,Captiva Sport,2015,61000,Quito,19000
Chevrolet,Sail Hatchback,2015,60500,Quito,12000
Chevrolet,Optra,2006,230,Guayaquil,9200
Chevrolet,D-Max,2016,110000,Guayaquil,23500
Chevrolet,Cruze,2012,95000,Santo Domingo,7000
Hyundai,Sonata,2014,73000,Quito,21000
Kia,Sportage,2011,180000,Tulcán,17500
Kia,Picanto,2019,5500,Quito,12500
Kia,Rio,2018,42500,Guayaquil,16500
Kia,Rio,2018,40000,Quito,16000
Kia,Rio,2013,149605,Esmeraldas,9200
Kia,Sportage,2017,100000,Quito,18200
Peugeot,206,2006,196000,Guayaquil,6400
Skoda,Octavia,2008,360000,Quito,8500
Skoda,Fabia,2006,114000,Guayaquil,8500
Toyota,Corolla,2006,165000,Quito,11500
Toyota,Land Cruiser Prado,2004,176500,Guayaquil,5500
Toyota,Land Cruiser Prado,2006,218500,San Cristobal,4000
Toyota,Hilux,1998,61093,Mira,1500
Toyota,Fortuner,2019,11000,Quito,48500
Honda,CR-V,2002,257000,Quito,10000
Citroën,Berlingo Van,2008,120000,Ambato,2500
Great Wall,H3,2011,199999,Latacunga,11790
JMC,Landwind,2019,41000,Salinas,14200
Chevrolet,Trailblazer,2003,233155,Santo Domingo,9500
Chevrolet,Spark GT,2019,23000,Quito,12700
Chevrolet,Tracker,2014,219000,Guayaquil,13000
Chevrolet,Sail Sedán,2013,235000,Guayaquil,8500
Chevrolet,Grand Vitara,2009,169000,Cuenca,10650
Dodge,Journey,2012,145000,Guayaquil,15000
Hyundai,Santa Fe,2013,129000,Rumiñahui,24200
Nissan,March,2012,196000,Guayaquil,12000
Nissan,Pathfinder,2004,201100,Quito,12800
Volkswagen,Gol,2009,200000,Quito,8900
Renault,Logan,2014,126921,Quito,9500
Renault,Logan,2013,92000,Guayaquil,10800
Mercedes Benz,Clase S Convertible,2007,168261,Caluma,7500
Mazda,6 Sedán,2010,192000,Guayaquil,14500
Mazda,6 Sedán,2007,145000,Ambato,6400
Mazda,BT-50,2010,225000,Guayaquil,13800
Mazda,BT-50,2016,130000,Naranjal,17000
Skoda,Fabia Combi,2011,144600,Guayaquil,10500
Toyota,Rav4,2019,5400,Quito,32500
Toyota,Land Cruiser 200,2016,16528,Guachapala,15000
Toyota,4Runner,2014,78364,Loja,58000
Toyota,Corolla,2010,173000,Guayaquil,11900
Citroën,C3,2018,20200,Quito,18500
Soueast,DX3,2019,8000,Mejia,17000
